Cva_ID;Cva_APG_Family;Cva_Genus;Cva_Species;Cva_Common_Name;Cva_Authority;Cva_Chromosome_Nr;Cva_PloidyLevel;Cva_Estimation_Method;Cva_Voucher;Cva_2C_PG;Cva_Original_Reference;Cva_Lifecycle;Cva_Angiosperm_Group;Cva_Paper;Cva_IS;Cva_Remarks;Cva_Order_Nr;Cva_CompanyCode;Cva_Cropcode;Cva_Date_Created;Cva_Date_ Modified;Cva_EmpName_Created;Cva_EmpName_Modified;Cva_ID_Genus;Cva_Cultivar;Cva_AnO;Cva_PlantCode;Cva_BreedingCode;Cva_Status;Cva_zzz
8483;Amaranthaceae;Salsola;soda;;L.;18;2;CIA;Y;2.62;Dolenc Koce et al.; 2008 (Ref. 580);A;Eudicot;0;;2008;0;;;9-2-2013;2-1-2016;Import;Designer;1654;;;;;
8484;Polemoniaceae;Navarretia;squarrosa;;Hook. & Arn.;18;2;Fe;Y;2.63;Hanson et al.; 2001 (Ref. 378);A;Eudicot;0;;2001;0;;;9-2-2013;2-1-2016;Import;Designer;1919;;;;;
8485;Plantaginaceae;Veronica;missurica;;Raf.;24;4;FC:PI;Y;2.64;Albach & Greilhuber; 2003 (Ref. 478);P;Eudicot;0;;2003;0;;193;9-2-2013;31-12-2015;Import;Designer;367;;;;;
8486;Rubiaceae;Haldina;cordifolia;;(Roxb.) Ridsdale;44;4;Fe;N;2.65;Ohri; 2002 (Ref. 454);P;Eudicot;0;;2002;0;;;9-2-2013;2-1-2016;Import;Designer;1920;;;;;
8487;Amaranthaceae;Chenopodium;quinoa;;Willd.;36;4;Fe;N;2.65;Bennett et al.; 1976 (Ref. 108);A;Eudicot;0;;1976;0;;;9-2-2013;31-12-2015;Import;Designer;1039;;;;;
8488;Rutaceae;Correa;virens;;Hook.;32;0;Fe;;2.65;Guerra M dos S.; 1984 (Ref. 140);P;Eudicot;0;;1984;0;;;9-2-2013;31-12-2015;Import;Designer;1337;;;;;
8489;Rhamnaceae;Rhamnus;catharticus;;L.;24;2;Fe;;2.65;Band; 1984 (Ref. 154);P;Eudicot;0;;1984;0;;;9-2-2013;2-1-2016;Import;Designer;1695;;;;;
8490;Solanaceae;Solanum;viarum;;Dunal;24;2;Fe;N;2.65;Bennett and Smith; 1987 (Ref. 164);;Eudicot;0;;1987;0;;78;9-2-2013;31-12-2015;Import;Designer;340;;;;;
8491;Fabaceae;Glycine;cyrtoloba;;Tind.;40;2;FC:EB;;2.65;Hammatt et al.; 1991 (Ref. 165);P;Eudicot;0;;1991;0;;;9-2-2013;31-12-2015;Import;Designer;1117;;;;;
8492;Fabaceae;Tephrosia;incana;;(Roxb.) Wight & Arnot;22;2;Fe;Y;2.65;Raina et al.; 1986 (Ref. 183);A;Eudicot;0;;1986;0;;;9-2-2013;2-1-2016;Import;Designer;1675;;;;;
